from_gvkey,to_gvkey,from_date,to_date,person_bvd,name,gvkey_j,gvkey_k,lambda_pre,lambda_post,lambda_delta,lambda_pre_rev,lambda_post_rev,lambda_delta_rev,lambda_jk_pre,lambda_jk_post,delta_lambda
100000,200000,2003-01-28,2008,P002519657,ANON_0000,8007.0,2991.0,0.5842247,0.63269466,0.04846996,0.745047,0.9504949,0.20544791,0.5842247,0.63269466,0.04846996
100001,200001,2008,2016-05-26,P002519657,ANON_0001,2991.0,7154.0,0.83113,1.0057108,0.17458081,0.7307335,0.83689207,0.106158555,0.83113,1.0057108,0.17458081
100002,200002,2016-05-26,2022-05-27,P002519657,ANON_0002,7154.0,29868.0,0.560987,1.1194103,0.5584233,0.18907146,0.31088135,0.121809885,0.560987,1.1194103,0.5584233
100003,200003,2018-09,2020-12-10,P002993229,ANON_0003,121077.0,179621.0,0.25717545,0.45284566,0.19567022,0.6037997,0.62732655,0.023526847,0.25717545,0.45284566,0.19567022
100004,200004,2020-12-10,2023,P002993229,ANON_0004,179621.0,121077.0,0.6037997,0.62732655,0.023526847,0.25717545,0.45284566,0.19567022,0.6037997,0.62732655,0.023526847
100005,200005,1996,2019,P003236669,ANON_0005,4598.0,7154.0,0.5230679,0.41061482,-0.11245307,0.827745,0.6275806,-0.20016444,0.5230679,0.41061482,-0.11245307
100006,200006,2011-08-15,2018,P003238124,ANON_0006,11465.0,24856.0,0.27425012,0.27753443,0.0032843053,0.7545191,0.71338993,-0.04112917,0.27425012,0.27753443,0.0032843053
100007,200007,2018-01-11,2024,P003340565,ANON_0007,3246.0,25340.0,0.5968728,0.63067955,0.03380674,0.324734,0.48142388,0.15668988,0.5968728,0.63067955,0.03380674
100008,200008,2024,2026,P003340565,ANON_0008,25340.0,4640.0,0.28357786,0.2768795,-0.00669837,0.48511568,0.87820995,0.39309427,0.28357786,0.2768795,-0.00669837
100009,200009,2017,2024,P003565716,ANON_0009,30032.0,10789.0,0.15718687,0.26698956,0.10980269,0.14292923,0.18992844,0.046999216,0.15718687,0.26698956,0.10980269
100010,200010,2013,2013,P003968078,ANON_0010,7435.0,3362.0,0.8864223,0.82631314,-0.06010914,0.4086115,0.79164404,0.38303253,0.8864223,0.82631314,-0.06010914
100011,200011,2015-03-04,2018,P004216721,ANON_0011,147988.0,1722.0,0.10389514,0.47574982,0.37185466,0.19505824,0.35146022,0.15640198,0.10389514,0.47574982,0.37185466
100012,200012,2018-01,2019-04,P005061047,ANON_0012,30298.0,4498.0,0.1945637,0.3056752,0.11111151,0.19994675,0.4884057,0.28845894,0.1945637,0.3056752,0.11111151
100013,200013,2021-12-15,2025,P008858875,ANON_0013,13421.0,6008.0,0.20348388,0.17012675,-0.03335713,0.8957159,1.0005428,0.10482687,0.20348388,0.17012675,-0.03335713
100014,200014,2010-07-15,2010-07-15,P008921256,ANON_0014,24468.0,133885.0,0.47261173,0.5399231,0.06731135,0.4930235,0.44732097,-0.045702547,0.47261173,0.5399231,0.06731135
100015,200015,2010-07-15,2011,P008921256,ANON_0015,133885.0,126554.0,0.35949215,0.40131718,0.041825026,0.81665844,0.9234072,0.10674876,0.35949215,0.40131718,0.041825026
100016,200016,1971-05,2009-12,P008921858,ANON_0016,5149.0,24731.0,0.84898084,1.0347601,0.18577927,0.36313978,0.45897657,0.09583679,0.84898084,1.0347601,0.18577927
100017,200017,1992,2006,P008922751,ANON_0017,118042.0,7116.0,0.4051715,0.6518705,0.24669898,0.5351602,0.6581602,0.123000026,0.4051715,0.6518705,0.24669898
100018,200018,2006,2009-12-01,P008922751,ANON_0018,7116.0,118042.0,0.5351602,0.6581602,0.123000026,0.4051715,0.6518705,0.24669898,0.5351602,0.6581602,0.123000026
100019,200019,2012-12-20,2013-05-01,P008923169,ANON_0019,126296.0,126136.0,0.0,0.1681025,0.1681025,0.0,0.021673324,0.021673324,0.0,0.1681025,0.1681025
100020,200020,2006-01-10,2006-02-08,P008923265,ANON_0020,6781.0,2558.0,0.049504787,0.01966072,-0.029844066,0.0009478135,0.0005921973,-0.0003556162,0.049504787,0.01966072,-0.029844066
100021,200021,2006-02-08,2024-12-31,P008923265,ANON_0021,2558.0,6781.0,0.0009478135,0.0005921973,-0.0003556162,0.049504787,0.01966072,-0.029844066,0.0009478135,0.0005921973,-0.0003556162
100022,200022,1985,1998,P008923266,ANON_0022,2558.0,6781.0,0.0009478135,0.0005921973,-0.0003556162,0.049504787,0.01966072,-0.029844066,0.0009478135,0.0005921973,-0.0003556162
100023,200023,2006,2021,P008924675,ANON_0023,7647.0,1690.0,0.8982331,1.0094442,0.11121112,0.8192487,0.7022301,-0.11701858,0.8982331,1.0094442,0.11121112
100024,200024,2021,2021,P008924675,ANON_0024,1690.0,3813.0,1.1792287,0.96765524,-0.21157342,0.22112322,0.62438107,0.40325785,1.1792287,0.96765524,-0.21157342
100025,200025,2021,2021-01-04,P008924675,ANON_0025,3813.0,1690.0,0.22112322,0.62438107,0.40325785,1.1792287,0.96765524,-0.21157342,0.22112322,0.62438107,0.40325785
100026,200026,2006-09,2015-09-15,P008924846,ANON_0026,12915.0,14172.0,0.07769703,0.14270237,0.06500534,0.8291234,0.7862082,-0.042915165,0.07769703,0.14270237,0.06500534
100027,200027,2017-03,2019,P008925317,ANON_0027,28022.0,8113.0,0.833562,0.8234147,-0.010147333,0.38172612,0.28686562,-0.094860494,0.833562,0.8234147,-0.010147333
100028,200028,2014,2022,P008925549,ANON_0028,11770.0,287462.0,0.0,0.079350285,0.079350285,0.0,0.057512496,0.057512496,0.0,0.079350285,0.079350285
100029,200029,2020-08-26,2020-08-26,P008925577,ANON_0029,9225.0,8901.0,0.52066106,0.4247997,-0.095861346,0.55297256,0.63777417,0.084801614,0.52066106,0.4247997,-0.095861346
100030,200030,2003-11-04,2012,P008926005,ANON_0030,8219.0,5523.0,0.25527894,0.38031945,0.1250405,0.09325817,0.1937429,0.10048473,0.25527894,0.38031945,0.1250405
100031,200031,1995,2008-01-01,P008927394,ANON_0031,163920.0,29011.0,0.5586921,0.23260814,-0.32608396,0.18679221,0.31702366,0.13023145,0.5586921,0.23260814,-0.32608396
100032,200032,2011,2016-06-24,P008928116,ANON_0032,4885.0,9899.0,0.7924207,0.64475423,-0.14766645,0.47027168,0.51277804,0.042506367,0.7924207,0.64475423,-0.14766645
100033,200033,2003,2006,P008929570,ANON_0033,12603.0,166482.0,0.0,0.37055916,0.37055916,0.0,0.48475903,0.48475903,0.0,0.37055916,0.37055916
100034,200034,2009-12-08,2016,P008973917,ANON_0034,8762.0,4503.0,0.8325742,0.86285657,0.030282378,0.9460993,1.000014,0.053914666,0.8325742,0.86285657,0.030282378
100035,200035,2019,2023,P009000624,ANON_0035,14934.0,8151.0,0.36700112,0.75814223,0.39114112,0.46304756,0.59323984,0.13019228,0.36700112,0.75814223,0.39114112
100036,200036,2010-01-01,2017,P009021118,ANON_0036,136725.0,138205.0,0.47113994,0.797524,0.32638404,0.18413456,0.40481865,0.2206841,0.47113994,0.797524,0.32638404
100037,200037,2017-12-01,2025,P009021118,ANON_0037,138205.0,136725.0,0.18413456,0.40481865,0.2206841,0.47113994,0.797524,0.32638404,0.18413456,0.40481865,0.2206841
100038,200038,1995,2003,P009072898,ANON_0038,8902.0,10581.0,0.23681441,0.4377608,0.20094639,0.38295898,0.6925206,0.30956164,0.23681441,0.4377608,0.20094639
100039,200039,2003,2008-10,P009072898,ANON_0039,10581.0,8902.0,0.38295898,0.6925206,0.30956164,0.23681441,0.4377608,0.20094639,0.38295898,0.6925206,0.30956164
100040,200040,2015-04-16,2022,P009089324,ANON_0040,8247.0,8030.0,0.3480104,0.6786655,0.33065513,0.3656919,0.36242393,-0.0032679737,0.3480104,0.6786655,0.33065513
100041,200041,2022-09-01,2023,P009089324,ANON_0041,8030.0,1300.0,0.56365085,0.45930985,-0.104341,0.49804774,0.63595325,0.13790551,0.56365085,0.45930985,-0.104341
100042,200042,2017-01-01,2018,P009109669,ANON_0042,6730.0,12540.0,0.22755021,0.41425934,0.18670914,0.5215151,0.5312941,0.009779036,0.22755021,0.41425934,0.18670914
100043,200043,2016-07-25,2021,P009134295,ANON_0043,12389.0,14477.0,0.35596472,0.47924018,0.12327546,0.60281014,0.5886713,-0.014138818,0.35596472,0.47924018,0.12327546
100044,200044,2007,2010-07-27,P009151416,ANON_0044,126296.0,126136.0,0.0,0.1681025,0.1681025,0.0,0.021673324,0.021673324,0.0,0.1681025,0.1681025
100045,200045,2003,2010,P009157552,ANON_0045,29131.0,4699.0,0.06497319,0.20666948,0.14169629,0.056779448,0.15551822,0.098738775,0.06497319,0.20666948,0.14169629
100046,200046,1998-05,2003-08-13,P009165469,ANON_0046,63781.0,10056.0,0.2621106,0.27253014,0.010419548,0.43208355,0.5646917,0.13260818,0.2621106,0.27253014,0.010419548
100047,200047,2003-08-13,2020,P009165469,ANON_0047,10056.0,63781.0,0.43208355,0.5646917,0.13260818,0.2621106,0.27253014,0.010419548,0.43208355,0.5646917,0.13260818
100048,200048,2017,2018,P009186687,ANON_0048,175263.0,8549.0,0.42869785,0.35292804,-0.07576981,0.7355629,0.86043894,0.12487602,0.42869785,0.35292804,-0.07576981
100049,200049,2010-06-11,2013,P009189308,ANON_0049,1078.0,5046.0,1.0251427,1.0815899,0.056447268,0.5018753,0.41252732,-0.08934796,1.0251427,1.0815899,0.056447268
100050,200050,2013,2020,P009189308,ANON_0050,5046.0,2968.0,0.37044513,0.40786216,0.037417024,0.8988035,0.9202985,0.021495044,0.37044513,0.40786216,0.037417024
100051,200051,2017,2022,P009189792,ANON_0051,174310.0,1440.0,0.26651707,0.41089207,0.144375,0.7324119,0.87247944,0.14006752,0.26651707,0.41089207,0.144375
100052,200052,2015-10-01,2021,P009192029,ANON_0052,10867.0,8358.0,0.5729823,0.5489353,-0.024047017,0.53721726,0.7368909,0.19967365,0.5729823,0.5489353,-0.024047017
100053,200053,2021-01-27,2024,P009192029,ANON_0053,8358.0,12635.0,0.45252433,0.55183625,0.09931192,0.73147595,0.4336903,-0.29778564,0.45252433,0.55183625,0.09931192
100054,200054,2010,2021,P009209756,ANON_0054,3650.0,5234.0,0.53775585,0.60036784,0.062612,0.6516864,0.55311036,-0.09857601,0.53775585,0.60036784,0.062612
100055,200055,2006-08-01,2014-02-25,P009238420,ANON_0055,16790.0,13623.0,0.903656,0.9169849,0.01332891,0.54582864,0.33264515,-0.21318349,0.903656,0.9169849,0.01332891
100056,200056,2020-05,2024-05-29,P009238420,ANON_0056,13623.0,158587.0,0.27112237,0.24865513,-0.02246724,0.33656093,0.31832877,-0.018232167,0.27112237,0.24865513,-0.02246724
100057,200057,2020-06-01,2023-11-17,P009247927,ANON_0057,5870.0,6867.0,0.15369655,0.33863804,0.18494149,0.694952,0.848608,0.153656,0.15369655,0.33863804,0.18494149
100058,200058,2012-11,2021,P009281829,ANON_0058,4321.0,30671.0,0.66991234,0.6952047,0.025292337,0.35315382,0.28761822,-0.065535605,0.66991234,0.6952047,0.025292337
100059,200059,2016,2025,P009284691,ANON_0059,9846.0,6742.0,0.4525856,0.57302314,0.12043753,0.9723743,0.69411945,-0.27825487,0.4525856,0.57302314,0.12043753
100060,200060,2010,2017-10-01,P009284741,ANON_0060,9778.0,28349.0,0.23724261,0.2977703,0.060527682,0.58310574,0.74607164,0.1629659,0.23724261,0.2977703,0.060527682
100061,200061,2008,2014,P009286642,ANON_0061,64030.0,163946.0,0.72049373,0.6091382,-0.11135554,0.4838128,0.52098626,0.03717345,0.72049373,0.6091382,-0.11135554
100062,200062,1996-12,2010-04,P009287843,ANON_0062,14790.0,163920.0,0.08774761,0.39005658,0.30230898,0.7801836,0.8084091,0.028225482,0.08774761,0.39005658,0.30230898
100063,200063,2005-05-02,2024-03-12,P009288109,ANON_0063,8123.0,287462.0,0.0,0.07078947,0.07078947,0.0,0.078186356,0.078186356,0.0,0.07078947,0.07078947
100064,200064,2014-10-16,2019,P009291119,ANON_0064,165052.0,27914.0,0.32496408,0.45406085,0.12909678,0.5178786,0.5600153,0.04213673,0.32496408,0.45406085,0.12909678
100065,200065,2006,2016-10,P009300198,ANON_0065,30477.0,66731.0,0.15555659,0.34189945,0.18634287,0.58681834,0.3228051,-0.26401323,0.15555659,0.34189945,0.18634287
100066,200066,2018-06,2020-07,P009305579,ANON_0066,6730.0,61399.0,0.2124481,0.2547955,0.042347386,0.19235836,0.22985424,0.03749588,0.2124481,0.2547955,0.042347386
100067,200067,2020-07,2021,P009305579,ANON_0067,61399.0,6730.0,0.19235836,0.22985424,0.03749588,0.2124481,0.2547955,0.042347386,0.19235836,0.22985424,0.03749588
100068,200068,2009,2014,P009319164,ANON_0068,145049.0,63643.0,0.6732323,0.61647767,-0.05675465,0.37142152,0.47981775,0.10839623,0.6732323,0.61647767,-0.05675465
100069,200069,2008-05-06,2016-02-12,P009349123,ANON_0069,4321.0,10920.0,1.2284135,0.96027476,-0.2681387,0.50191104,0.8118539,0.30994284,1.2284135,0.96027476,-0.2681387
100070,200070,2007,2010-07-29,P009374652,ANON_0070,64690.0,28742.0,0.39692152,0.784513,0.38759148,0.33123082,0.31637672,-0.014854103,0.39692152,0.784513,0.38759148
100071,200071,2010-07-29,2014-05-04,P009374652,ANON_0071,28742.0,64690.0,0.33123082,0.31637672,-0.014854103,0.39692152,0.784513,0.38759148,0.33123082,0.31637672,-0.014854103
100072,200072,2023-09-11,2025,P009376018,ANON_0072,11259.0,3851.0,1.7098148,1.5424894,-0.16732538,0.08375461,0.11247899,0.02872438,1.7098148,1.5424894,-0.16732538
100073,200073,2020-04,2025-11,P009376422,ANON_0073,136725.0,6008.0,0.33474943,0.3269132,-0.007836223,0.80840397,1.0744725,0.26606858,0.33474943,0.3269132,-0.007836223
100074,200074,2022-01-01,2025,P009408834,ANON_0074,136725.0,6304.0,0.7788156,0.7277672,-0.051048398,0.34516114,0.5078296,0.16266847,0.7788156,0.7277672,-0.051048398
100075,200075,2025,2025,P009408834,ANON_0075,6304.0,136725.0,0.34516114,0.5078296,0.16266847,0.7788156,0.7277672,-0.051048398,0.34516114,0.5078296,0.16266847
100076,200076,2009-06-30,2019,P009413912,ANON_0076,64891.0,6266.0,0.0,0.22253488,0.22253488,0.0,0.94287944,0.94287944,0.0,0.22253488,0.22253488
100077,200077,2006-04,2017-02-10,P009504329,ANON_0077,12262.0,1968.0,0.26753592,0.5136585,0.2461226,0.27293184,0.5007996,0.22786775,0.26753592,0.5136585,0.2461226
100078,200078,2012-10-22,2019-07,P009508942,ANON_0078,15417.0,30222.0,0.13351804,0.40212104,0.268603,0.20654887,0.24912405,0.04257518,0.13351804,0.40212104,0.268603
100079,200079,2014-12-15,2018,P009518469,ANON_0079,3007.0,25737.0,0.147001,0.35102502,0.20402402,0.25143677,0.46369714,0.21226037,0.147001,0.35102502,0.20402402
100080,200080,2017,2017-06-02,P009520768,ANON_0080,4066.0,66065.0,0.39952785,0.66138744,0.2618596,0.12569545,0.2522527,0.12655725,0.39952785,0.66138744,0.2618596
100081,200081,2008,2016-01-01,P009543568,ANON_0081,4685.0,4193.0,0.6343426,0.737152,0.10280937,0.17097478,0.3444669,0.17349212,0.6343426,0.737152,0.10280937
100082,200082,2016-01-01,2025-11-10,P009553712,ANON_0082,24731.0,29875.0,0.8358226,0.9189408,0.0831182,0.5584503,0.8555768,0.29712653,0.8358226,0.9189408,0.0831182
100083,200083,2014-01-01,2014-10-10,P009554657,ANON_0083,29736.0,31846.0,0.27257463,0.73113954,0.4585649,0.588645,0.74058706,0.15194207,0.27257463,0.73113954,0.4585649
100084,200084,2023,2025,P009554657,ANON_0084,31846.0,6078.0,0.4875447,0.6513558,0.16381112,0.49328753,0.5679541,0.07466659,0.4875447,0.6513558,0.16381112
100085,200085,2025-01-01,2026,P009554657,ANON_0085,6078.0,145977.0,0.42702317,0.3698996,-0.05712357,0.40412894,0.18445985,-0.21966909,0.42702317,0.3698996,-0.05712357
100086,200086,2006,2008-09-04,P009556352,ANON_0086,175307.0,29868.0,0.81984246,0.74044204,-0.07940042,0.5170988,0.6437133,0.12661451,0.81984246,0.74044204,-0.07940042
100087,200087,2010-02,2011-07-01,P009557694,ANON_0087,183833.0,110179.0,0.0,0.25268477,0.25268477,0.0,0.5208542,0.5208542,0.0,0.25268477,0.25268477
100088,200088,2011-07-01,2011-11,P009557694,ANON_0088,110179.0,61163.0,0.7393677,0.8788236,0.13945585,0.5183331,0.5428476,0.024514496,0.7393677,0.8788236,0.13945585
100089,200089,2011-11,2013-03-01,P009557694,ANON_0089,61163.0,24291.0,0.3167708,0.35455266,0.037781864,0.119975746,0.2674119,0.14743614,0.3167708,0.35455266,0.037781864
100090,200090,2013-03-01,2015-02-13,P009557694,ANON_0090,24291.0,61163.0,0.119975746,0.2674119,0.14743614,0.3167708,0.35455266,0.037781864,0.119975746,0.2674119,0.14743614
100091,200091,2021-09-02,2025-06,P009557694,ANON_0091,61163.0,24291.0,0.3167708,0.35455266,0.037781864,0.119975746,0.2674119,0.14743614,0.3167708,0.35455266,0.037781864
100092,200092,2016-04-29,2018,P009560671,ANON_0092,8068.0,6774.0,0.94553703,1.230186,0.28464895,0.32572004,0.26049232,-0.06522772,0.94553703,1.230186,0.28464895
100093,200093,2011,2016,P009568437,ANON_0093,11376.0,15267.0,0.21385,0.32679397,0.11294396,0.23954798,0.44083756,0.20128958,0.21385,0.32679397,0.11294396
100094,200094,1999,2018-02-05,P009578141,ANON_0094,147579.0,199356.0,0.0,0.35396966,0.35396966,0.0,0.5481878,0.5481878,0.0,0.35396966,0.35396966
100095,200095,2003-12,2008-05-22,P009579087,ANON_0095,157855.0,5518.0,0.26137385,0.52804667,0.26667282,0.4778916,0.94768983,0.46979824,0.26137385,0.52804667,0.26667282
100096,200096,2015-06-17,2020,P009601203,ANON_0096,8219.0,4809.0,0.16893141,0.22640651,0.057475105,0.43420726,0.42615765,-0.008049607,0.16893141,0.22640651,0.057475105
100097,200097,2011-05-01,2013,P009602090,ANON_0097,10405.0,10860.0,0.2955705,0.47671065,0.18114015,0.20316058,0.64434415,0.44118357,0.2955705,0.47671065,0.18114015
100098,200098,2013-06-04,2019,P009602090,ANON_0098,10860.0,8245.0,0.37610808,0.5302867,0.15417865,0.71051586,0.5441937,-0.16632217,0.37610808,0.5302867,0.15417865
100099,200099,2014-10-01,2025-06-09,P009616003,ANON_0099,1209.0,10056.0,0.28935745,0.3572068,0.06784934,0.3667576,0.35681412,-0.009943485,0.28935745,0.3572068,0.06784934
